grid_code,min_lon,max_lon,min_lat,max_lat,intersects_manhattan,has_sensor,sensor_list,taxi_zones
5@17,-74.01853,-74.01353,40.7379165,40.74291650000001,False,False,[],{}
5@18,-74.01853,-74.01353,40.74291650000001,40.74791650000001,False,False,[],{}
5@19,-74.01853,-74.01353,40.7479165,40.752916500000005,False,False,[],{}
5@20,-74.01853,-74.01353,40.752916500000005,40.75791650000001,False,False,[],{}
5@21,-74.01853,-74.01353,40.7579165,40.7629165,False,False,[],{}
5@22,-74.01853,-74.01353,40.7629165,40.767916500000005,False,False,[],{}
5@23,-74.01853,-74.01353,40.767916500000005,40.77291650000001,False,False,[],{}
5@24,-74.01853,-74.01353,40.7729165,40.7779165,False,False,[],{}
5@25,-74.01853,-74.01353,40.7779165,40.782916500000006,False,False,[],{}
5@26,-74.01853,-74.01353,40.782916500000006,40.78791650000001,False,False,[],{}
5@27,-74.01853,-74.01353,40.7879165,40.7929165,False,False,[],{}
5@28,-74.01853,-74.01353,40.7929165,40.79791650000001,False,False,[],{}
5@29,-74.01853,-74.01353,40.79791650000001,40.80291650000001,False,False,[],{}
5@30,-74.01853,-74.01353,40.8029165,40.807916500000005,False,False,[],{}
5@31,-74.01853,-74.01353,40.807916500000005,40.81291650000001,False,False,[],{}
5@32,-74.01853,-74.01353,40.8129165,40.8179165,False,False,[],{}
5@33,-74.01853,-74.01353,40.8179165,40.822916500000005,False,False,[],{}
5@34,-74.01853,-74.01353,40.822916500000005,40.82791650000001,False,False,[],{}
5@35,-74.01853,-74.01353,40.8279165,40.8329165,False,False,[],{}
5@36,-74.01853,-74.01353,40.8329165,40.837916500000006,False,False,[],{}
5@37,-74.01853,-74.01353,40.837916500000006,40.84291650000001,False,False,[],{}
5@38,-74.01853,-74.01353,40.8429165,40.8479165,False,False,[],{}
5@39,-74.01853,-74.01353,40.8479165,40.852916500000006,False,False,[],{}
5@40,-74.01853,-74.01353,40.852916500000006,40.85791650000001,False,False,[],{}
5@41,-74.01853,-74.01353,40.8579165,40.8629165,False,False,[],{}
5@42,-74.01853,-74.01353,40.8629165,40.86791650000001,False,False,[],{}
5@43,-74.01853,-74.01353,40.86791650000001,40.87291650000001,False,False,[],{}
5@44,-74.01853,-74.01353,40.8729165,40.877916500000005,False,False,[],{}
5@45,-74.01853,-74.01353,40.877916500000005,40.88291650000001,False,False,[],{}
5@46,-74.01853,-74.01353,40.8829165,40.8879165,False,False,[],{}
5@47,-74.01853,-74.01353,40.8879165,40.892916500000005,False,False,[],{}
5@48,-74.01853,-74.01353,40.892916500000005,40.89791650000001,False,False,[],{}
5@49,-74.01853,-74.01353,40.8979165,40.9029165,False,False,[],{}
6@0,-74.01353,-74.00853000000001,40.6529165,40.657916500000006,False,False,[],{}
6@1,-74.01353,-74.00853000000001,40.657916500000006,40.66291650000001,False,False,[],{}
6@2,-74.01353,-74.00853000000001,40.6629165,40.6679165,False,False,[],{}
6@3,-74.01353,-74.00853000000001,40.6679165,40.67291650000001,False,True,[165783],{}
6@4,-74.01353,-74.00853000000001,40.67291650000001,40.67791650000001,False,True,[182235],{}
6@5,-74.01353,-74.00853000000001,40.6779165,40.682916500000005,False,True,[145962],{}
6@6,-74.01353,-74.00853000000001,40.682916500000005,40.68791650000001,True,False,[],{}
6@7,-74.01353,-74.00853000000001,40.6879165,40.6929165,True,False,[],{103.0: 0.17715013903810617}
6@8,-74.01353,-74.00853000000001,40.6929165,40.697916500000005,False,False,[],{}
6@9,-74.01353,-74.00853000000001,40.697916500000005,40.70291650000001,True,False,[],{88.0: 0.36614162326170757}
6@10,-74.01353,-74.00853000000001,40.7029165,40.7079165,True,False,[],"{87.0: 0.34667550511413897, 88.0: 0.5503846421934638, 261.0: 0.10293980085178055}"
6@11,-74.01353,-74.00853000000001,40.7079165,40.712916500000006,True,False,[],"{87.0: 0.21065420152319325, 209.0: 0.008955477460421354, 231.0: 0.10584130104864214, 261.0: 0.6745490451374815}"
6@12,-74.01353,-74.00853000000001,40.712916500000006,40.71791650000001,True,False,[],"{13.0: 0.056105558231378534, 231.0: 0.9221450873841261, 261.0: 0.021749335638728048}"
6@13,-74.01353,-74.00853000000001,40.7179165,40.7229165,True,False,[],"{13.0: 0.033150253898374116, 231.0: 0.8540395519477959}"
6@14,-74.01353,-74.00853000000001,40.7229165,40.727916500000006,True,False,[],"{125.0: 0.40583060623323425, 231.0: 0.2810092047283464}"
6@15,-74.01353,-74.00853000000001,40.727916500000006,40.73291650000001,True,False,[],"{125.0: 0.10373975456306966, 158.0: 0.6271237834243198}"
6@16,-74.01353,-74.00853000000001,40.7329165,40.7379165,True,False,[],{158.0: 0.47658407795858004}
6@17,-74.01353,-74.00853000000001,40.7379165,40.74291650000001,True,False,[],"{158.0: 0.3893426373356179, 246.0: 0.013195617783332052}"
6@18,-74.01353,-74.00853000000001,40.74291650000001,40.74791650000001,True,False,[],{246.0: 0.3147930790518551}
6@19,-74.01353,-74.00853000000001,40.7479165,40.752916500000005,True,False,[],{246.0: 0.15294037383089665}
6@20,-74.01353,-74.00853000000001,40.752916500000005,40.75791650000001,True,False,[],{246.0: 0.0003878686487159749}
6@21,-74.01353,-74.00853000000001,40.7579165,40.7629165,False,False,[],{}
6@22,-74.01353,-74.00853000000001,40.7629165,40.767916500000005,False,False,[],{}
6@23,-74.01353,-74.00853000000001,40.767916500000005,40.77291650000001,False,False,[],{}
6@24,-74.01353,-74.00853000000001,40.7729165,40.7779165,False,False,[],{}
6@25,-74.01353,-74.00853000000001,40.7779165,40.782916500000006,False,False,[],{}
6@26,-74.01353,-74.00853000000001,40.782916500000006,40.78791650000001,False,False,[],{}
6@27,-74.01353,-74.00853000000001,40.7879165,40.7929165,False,False,[],{}
6@28,-74.01353,-74.00853000000001,40.7929165,40.79791650000001,False,False,[],{}
6@29,-74.01353,-74.00853000000001,40.79791650000001,40.80291650000001,False,False,[],{}
6@30,-74.01353,-74.00853000000001,40.8029165,40.807916500000005,False,False,[],{}
6@31,-74.01353,-74.00853000000001,40.807916500000005,40.81291650000001,False,False,[],{}
6@32,-74.01353,-74.00853000000001,40.8129165,40.8179165,False,False,[],{}
6@33,-74.01353,-74.00853000000001,40.8179165,40.822916500000005,False,False,[],{}
6@34,-74.01353,-74.00853000000001,40.822916500000005,40.82791650000001,False,False,[],{}
6@35,-74.01353,-74.00853000000001,40.8279165,40.8329165,False,False,[],{}
6@36,-74.01353,-74.00853000000001,40.8329165,40.837916500000006,False,False,[],{}
6@37,-74.01353,-74.00853000000001,40.837916500000006,40.84291650000001,False,False,[],{}
6@38,-74.01353,-74.00853000000001,40.8429165,40.8479165,False,False,[],{}
6@39,-74.01353,-74.00853000000001,40.8479165,40.852916500000006,False,False,[],{}
6@40,-74.01353,-74.00853000000001,40.852916500000006,40.85791650000001,False,False,[],{}
6@41,-74.01353,-74.00853000000001,40.8579165,40.8629165,False,False,[],{}
6@42,-74.01353,-74.00853000000001,40.8629165,40.86791650000001,False,False,[],{}
6@43,-74.01353,-74.00853000000001,40.86791650000001,40.87291650000001,False,False,[],{}
6@44,-74.01353,-74.00853000000001,40.8729165,40.877916500000005,False,False,[],{}
6@45,-74.01353,-74.00853000000001,40.877916500000005,40.88291650000001,False,False,[],{}
6@46,-74.01353,-74.00853000000001,40.8829165,40.8879165,False,False,[],{}
6@47,-74.01353,-74.00853000000001,40.8879165,40.892916500000005,False,False,[],{}
6@48,-74.01353,-74.00853000000001,40.892916500000005,40.89791650000001,False,False,[],{}
6@49,-74.01353,-74.00853000000001,40.8979165,40.9029165,False,False,[],{}
7@0,-74.00853000000001,-74.00353000000001,40.6529165,40.657916500000006,False,False,[],{}
7@1,-74.00853000000001,-74.00353000000001,40.657916500000006,40.66291650000001,False,False,[],{}
7@2,-74.00853000000001,-74.00353000000001,40.6629165,40.6679165,False,False,[],{}
7@3,-74.00853000000001,-74.00353000000001,40.6679165,40.67291650000001,False,False,[],{}
7@4,-74.00853000000001,-74.00353000000001,40.67291650000001,40.67791650000001,False,True,[152862],{}
7@5,-74.00853000000001,-74.00353000000001,40.6779165,40.682916500000005,False,False,[],{}
7@6,-74.00853000000001,-74.00353000000001,40.682916500000005,40.68791650000001,True,False,[],{}
7@7,-74.00853000000001,-74.00353000000001,40.6879165,40.6929165,True,False,[],{}
7@8,-74.00853000000001,-74.00353000000001,40.6929165,40.697916500000005,True,False,[],{}
7@9,-74.00853000000001,-74.00353000000001,40.697916500000005,40.70291650000001,True,False,[],"{87.0: 0.005418262201275178, 88.0: 0.020762214669827483}"
7@10,-74.00853000000001,-74.00353000000001,40.7029165,40.7079165,True,False,[],"{87.0: 0.7901044955259773, 88.0: 0.013810862321860162, 209.0: 0.02151558491458134}"
7@11,-74.00853000000001,-74.00353000000001,40.7079165,40.712916500000006,True,False,[],"{45.0: 0.06773217469309356, 87.0: 0.2636408799159237, 209.0: 0.502675557139671, 231.0: 0.165951278137825}"
7@12,-74.00853000000001,-74.00353000000001,40.712916500000006,40.71791650000001,True,True,[178471],"{45.0: 0.011836822509132263, 231.0: 0.9881631907847124}"
7@13,-74.00853000000001,-74.00353000000001,40.7179165,40.7229165,True,False,[],"{125.0: 0.03456216658994368, 211.0: 0.12085376115954709, 231.0: 0.8445840723638951}"
7@14,-74.00853000000001,-74.00353000000001,40.7229165,40.727916500000006,True,False,[],"{125.0: 0.840322402499965, 211.0: 0.1176028940368079, 231.0: 0.04207470417168783}"
7@15,-74.00853000000001,-74.00353000000001,40.727916500000006,40.73291650000001,True,False,[],"{125.0: 0.15103454878796632, 158.0: 0.2900702806988587, 249.0: 0.5588952057733062}"
7@16,-74.00853000000001,-74.00353000000001,40.7329165,40.7379165,True,False,[],"{158.0: 0.5003172877766975, 249.0: 0.4996827308804478}"
7@17,-74.00853000000001,-74.00353000000001,40.7379165,40.74291650000001,True,False,[],"{68.0: 0.31991337999016495, 158.0: 0.46535456309675516, 246.0: 0.017725941536272792, 249.0: 0.19700587524530425}"
7@18,-74.00853000000001,-74.00353000000001,40.74291650000001,40.74791650000001,True,False,[],"{68.0: 0.4587317646459541, 246.0: 0.541268294182579}"
7@19,-74.00853000000001,-74.00353000000001,40.7479165,40.752916500000005,True,False,[],"{68.0: 0.00614354465460212, 246.0: 0.9872118738673186}"
7@20,-74.00853000000001,-74.00353000000001,40.752916500000005,40.75791650000001,True,False,[],{246.0: 0.6367219943662743}
7@21,-74.00853000000001,-74.00353000000001,40.7579165,40.7629165,True,False,[],{246.0: 0.17526248075660966}
7@22,-74.00853000000001,-74.00353000000001,40.7629165,40.767916500000005,True,False,[],{50.0: 0.0015854043096965183}
7@23,-74.00853000000001,-74.00353000000001,40.767916500000005,40.77291650000001,False,False,[],{}
7@24,-74.00853000000001,-74.00353000000001,40.7729165,40.7779165,False,False,[],{}
7@25,-74.00853000000001,-74.00353000000001,40.7779165,40.782916500000006,False,False,[],{}
7@26,-74.00853000000001,-74.00353000000001,40.782916500000006,40.78791650000001,False,False,[],{}
7@27,-74.00853000000001,-74.00353000000001,40.7879165,40.7929165,False,False,[],{}
7@28,-74.00853000000001,-74.00353000000001,40.7929165,40.79791650000001,False,False,[],{}
7@29,-74.00853000000001,-74.00353000000001,40.79791650000001,40.80291650000001,False,False,[],{}
7@30,-74.00853000000001,-74.00353000000001,40.8029165,40.807916500000005,False,False,[],{}
7@31,-74.00853000000001,-74.00353000000001,40.807916500000005,40.81291650000001,False,False,[],{}
7@32,-74.00853000000001,-74.00353000000001,40.8129165,40.8179165,False,False,[],{}
7@33,-74.00853000000001,-74.00353000000001,40.8179165,40.822916500000005,False,False,[],{}
7@34,-74.00853000000001,-74.00353000000001,40.822916500000005,40.82791650000001,False,False,[],{}
7@35,-74.00853000000001,-74.00353000000001,40.8279165,40.8329165,False,False,[],{}
7@36,-74.00853000000001,-74.00353000000001,40.8329165,40.837916500000006,False,False,[],{}
7@37,-74.00853000000001,-74.00353000000001,40.837916500000006,40.84291650000001,False,False,[],{}
7@38,-74.00853000000001,-74.00353000000001,40.8429165,40.8479165,False,False,[],{}
7@39,-74.00853000000001,-74.00353000000001,40.8479165,40.852916500000006,False,False,[],{}
7@40,-74.00853000000001,-74.00353000000001,40.852916500000006,40.85791650000001,False,False,[],{}
7@41,-74.00853000000001,-74.00353000000001,40.8579165,40.8629165,False,False,[],{}
7@42,-74.00853000000001,-74.00353000000001,40.8629165,40.86791650000001,False,False,[],{}
7@43,-74.00853000000001,-74.00353000000001,40.86791650000001,40.87291650000001,False,False,[],{}
7@44,-74.00853000000001,-74.00353000000001,40.8729165,40.877916500000005,False,False,[],{}
7@45,-74.00853000000001,-74.00353000000001,40.877916500000005,40.88291650000001,False,False,[],{}
7@46,-74.00853000000001,-74.00353000000001,40.8829165,40.8879165,False,False,[],{}
7@47,-74.00853000000001,-74.00353000000001,40.8879165,40.892916500000005,False,False,[],{}
7@48,-74.00853000000001,-74.00353000000001,40.892916500000005,40.89791650000001,False,False,[],{}
7@49,-74.00853000000001,-74.00353000000001,40.8979165,40.9029165,False,False,[],{}
8@0,-74.00353,-73.99853,40.6529165,40.657916500000006,False,False,[],{}
8@1,-74.00353,-73.99853,40.657916500000006,40.66291650000001,False,False,[],{}
8@2,-74.00353,-73.99853,40.6629165,40.6679165,False,False,[],{}
8@3,-74.00353,-73.99853,40.6679165,40.67291650000001,False,False,[],{}
8@4,-74.00353,-73.99853,40.67291650000001,40.67791650000001,False,False,[],{}
8@5,-74.00353,-73.99853,40.6779165,40.682916500000005,False,False,[],{}
8@6,-74.00353,-73.99853,40.682916500000005,40.68791650000001,False,True,[182073],{}
8@7,-74.00353,-73.99853,40.6879165,40.6929165,True,True,[175901],{}
8@8,-74.00353,-73.99853,40.6929165,40.697916500000005,True,False,[],{}
8@9,-74.00353,-73.99853,40.697916500000005,40.70291650000001,True,False,[],{}
8@10,-74.00353,-73.99853,40.7029165,40.7079165,True,False,[],"{87.0: 0.039840443044210395, 209.0: 0.27167253347027687}"
8@11,-74.00353,-73.99853,40.7079165,40.712916500000006,True,False,[],"{45.0: 0.6901701459013632, 209.0: 0.30358310844482167}"
8@12,-74.00353,-73.99853,40.712916500000006,40.71791650000001,True,True,"[174545, 175215]","{45.0: 0.6652168784733583, 144.0: 0.02277400001360569, 231.0: 0.3120091215130361}"
8@13,-74.00353,-73.99853,40.7179165,40.7229165,True,True,[204699],"{45.0: 0.0004410396452999352, 144.0: 0.39939470668913, 211.0: 0.4032930946712464, 231.0: 0.19687117122091094}"
8@14,-74.00353,-73.99853,40.7229165,40.727916500000006,True,False,[],"{125.0: 0.03856053731766997, 114.0: 0.11253534097346278, 144.0: 0.003244915658081065, 211.0: 0.8456592276243495}"
8@15,-74.00353,-73.99853,40.727916500000006,40.73291650000001,True,False,[],"{125.0: 0.021208806122309003, 113.0: 0.022401109951031006, 114.0: 0.6008530617861838, 211.0: 0.0008080525170511791, 249.0: 0.35472898310196715}"
8@16,-74.00353,-73.99853,40.7329165,40.7379165,True,False,[],"{113.0: 0.06521951294931948, 114.0: 8.955931546257436e-06, 249.0: 0.9347715311191344}"
8@17,-74.00353,-73.99853,40.7379165,40.74291650000001,True,False,[],"{68.0: 0.2647077518589933, 90.0: 0.49430847378912324, 249.0: 0.24098357877290413}"
8@18,-74.00353,-73.99853,40.74291650000001,40.74791650000001,True,False,[],"{68.0: 0.9216682154393002, 90.0: 0.07833179557259523}"
8@19,-74.00353,-73.99853,40.7479165,40.752916500000005,True,False,[],"{68.0: 0.7239367924088358, 246.0: 0.27606321702071873}"
8@20,-74.00353,-73.99853,40.752916500000005,40.75791650000001,True,False,[],"{68.0: 0.09201579005136305, 246.0: 0.9079842114654629}"
8@21,-74.00353,-73.99853,40.7579165,40.7629165,True,False,[],"{50.0: 0.165427510918773, 246.0: 0.7332509578463052}"
8@22,-74.00353,-73.99853,40.7629165,40.767916500000005,True,False,[],{50.0: 0.27798048115959095}
8@23,-74.00353,-73.99853,40.767916500000005,40.77291650000001,True,False,[],{50.0: 0.041677698874761464}
8@24,-74.00353,-73.99853,40.7729165,40.7779165,False,False,[],{}
8@25,-74.00353,-73.99853,40.7779165,40.782916500000006,False,False,[],{}
8@26,-74.00353,-73.99853,40.782916500000006,40.78791650000001,False,False,[],{}
8@27,-74.00353,-73.99853,40.7879165,40.7929165,False,False,[],{}
8@28,-74.00353,-73.99853,40.7929165,40.79791650000001,False,False,[],{}
8@29,-74.00353,-73.99853,40.79791650000001,40.80291650000001,False,False,[],{}
8@30,-74.00353,-73.99853,40.8029165,40.807916500000005,False,False,[],{}
8@31,-74.00353,-73.99853,40.807916500000005,40.81291650000001,False,False,[],{}
8@32,-74.00353,-73.99853,40.8129165,40.8179165,False,False,[],{}
8@33,-74.00353,-73.99853,40.8179165,40.822916500000005,False,False,[],{}
8@34,-74.00353,-73.99853,40.822916500000005,40.82791650000001,False,False,[],{}
8@35,-74.00353,-73.99853,40.8279165,40.8329165,False,False,[],{}
8@36,-74.00353,-73.99853,40.8329165,40.837916500000006,False,False,[],{}
8@37,-74.00353,-73.99853,40.837916500000006,40.84291650000001,False,False,[],{}
8@38,-74.00353,-73.99853,40.8429165,40.8479165,False,False,[],{}
8@39,-74.00353,-73.99853,40.8479165,40.852916500000006,False,False,[],{}
8@40,-74.00353,-73.99853,40.852916500000006,40.85791650000001,False,False,[],{}
8@41,-74.00353,-73.99853,40.8579165,40.8629165,False,False,[],{}
8@42,-74.00353,-73.99853,40.8629165,40.86791650000001,False,False,[],{}
8@43,-74.00353,-73.99853,40.86791650000001,40.87291650000001,False,False,[],{}
8@44,-74.00353,-73.99853,40.8729165,40.877916500000005,False,False,[],{}
8@45,-74.00353,-73.99853,40.877916500000005,40.88291650000001,False,False,[],{}
8@46,-74.00353,-73.99853,40.8829165,40.8879165,False,False,[],{}
8@47,-74.00353,-73.99853,40.8879165,40.892916500000005,False,False,[],{}
8@48,-74.00353,-73.99853,40.892916500000005,40.89791650000001,False,False,[],{}
8@49,-74.00353,-73.99853,40.8979165,40.9029165,False,False,[],{}
9@0,-73.99853,-73.99353,40.6529165,40.657916500000006,False,False,[],{}
9@1,-73.99853,-73.99353,40.657916500000006,40.66291650000001,False,False,[],{}
9@2,-73.99853,-73.99353,40.6629165,40.6679165,False,False,[],{}
9@3,-73.99853,-73.99353,40.6679165,40.67291650000001,False,False,[],{}
9@4,-73.99853,-73.99353,40.67291650000001,40.67791650000001,False,False,[],{}
9@5,-73.99853,-73.99353,40.6779165,40.682916500000005,False,False,[],{}
9@6,-73.99853,-73.99353,40.682916500000005,40.68791650000001,False,True,[185729],{}
9@7,-73.99853,-73.99353,40.6879165,40.6929165,False,False,[],{}
9@8,-73.99853,-73.99353,40.6929165,40.697916500000005,True,True,[81785],{}
9@9,-73.99853,-73.99353,40.697916500000005,40.70291650000001,True,False,[],{}
9@10,-73.99853,-73.99353,40.7029165,40.7079165,True,False,[],{}
9@11,-73.99853,-73.99353,40.7079165,40.712916500000006,True,False,[],{45.0: 0.8040728308964958}
